STATE	DOMAIN	AGE	HOMEOWNR	NUMCHLD	INCOME	GENDER	WEALTH1	HIT	MBCRAFT	MBGARDEN	MBBOOKS	MBCOLECT	MAGFAML	MAGFEM	MAGMALE	PUBGARDN	PUBCULIN	PUBHLTH	PUBDOITY	PUBNEWFN	PUBPHOTO	PUBOPP	MAJOR	PEPSTRFL	NUMPRM12	NGIFTALL	TARGET_B
AL	T2		H		5	F		0.0															 	X	12.0	6.0	0
CA	 	79.0	 			F		0.0															 	X	28.0	20.0	0
FL	S1	86.0	H		7	M	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	37.0	0
MO	T2	25.0	U		1	M	4	0.0															 	 	7.0	6.0	0
CA	U2	69.0	U		3	F	3	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	X	22.0	11.0	0
MN	R2	57.0	H		4	M	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	10.0	18.0	1
TX	U1	57.0	H		7	F	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	12.0	1
CA	U2	61.0	H		4	M	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	14.0	0
OR	C1	48.0	 			F		0.0															 	X	10.0	18.0	0
FL	T3	71.0	H		2	F	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	19.0	0
TX	T2	65.0	U		6	F		0.0															 	X	14.0	19.0	0
CA	U2	52.0	 			F		0.0															 	X	22.0	19.0	1
MI	T2	59.0	H		4	F	4	6.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	13.0	6.0	0
IL	R2		 			F		0.0															 	 	13.0	3.0	0
AR	S2	60.0	 			 		0.0															 	X	15.0	11.0	1
OK	T2		 			F		0.0															 	 	28.0	11.0	0
IL	C1	62.0	H		4	F	6	10.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	14.0	9.0	0
FL	C2	37.0	U		4	F	6	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	11.0	12.0	0
GA	R2	37.0	U		4	F	8	14.0	2.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	X	13.0	8.0	0
CA	S1	33.0	 			F		0.0															 	 	12.0	4.0	0
CA	T2	41.0	H	3.0	4	F	1	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	14.0	4.0	0
OR	T2		H		2	F	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	24.0	0
TX	S1	38.0	H		5	F		0.0															 	 	13.0	7.0	0
MN	R2	55.0	U		2	F	0	0.0															 	X	12.0	22.0	0
MI	U4	55.0	U		1	M	4	33.0	2.0	0.0	8.0	0.0	1.0	1.0	0.0	2.0	2.0	3.0	5.0	1.0	0.0	1.0	 	X	8.0	16.0	0
OK	C2	40.0	U		3	F		0.0															 	 	8.0	2.0	0
CA	U2	88.0	H		5	F	6	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	9.0	1.0	0
MI	R3	50.0	H		2	M		0.0															 	 	12.0	11.0	0
IN	T2	84.0	 			F		0.0															 	X	12.0	13.0	0
CO	S1	42.0	H	2.0	6	M		0.0															 	X	13.0	13.0	1
IL	C2	78.0	H		2	F	4	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	 	X	9.0	16.0	0
CO	C2	1.0	 			M		0.0															 	X	16.0	23.0	0
MS	R2	49.0	U		1	M	8	0.0															 	X	12.0	4.0	0
LA	S1	56.0	H		4	F		0.0															 	X	27.0	55.0	0
CA	U2	62.0	H		6	M	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	3.0	0
OR	S2	89.0	U		2	F	6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	10.0	0
CA	S1	47.0	 			M		0.0															 	 	13.0	7.0	1
TN	C3	82.0	H		5	F	0	10.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	 	X	12.0	43.0	1
WA	C2	80.0	H		4	F	6	17.0	0.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	2.0	1.0	0.0	0.0	 	X	13.0	7.0	0
WI	 	52.0	H		5	M	4	22.0	2.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	28.0	8.0	0
CA	S1	34.0	H		7	F		0.0															 	 	12.0	3.0	0
CA	C1	50.0	H		5	M	4	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	14.0	14.0	0
CA	C2	63.0	H		4	M	4	10.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	9.0	0
FL	T2	56.0	 			F		0.0															 	X	14.0	28.0	0
MA	 	55.0	H		5	M	8	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	15.0	7.0	0
FL	S2	37.0	U		4	M	6	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	12.0	4.0	0
TX	S1	74.0	 		5	M		0.0															 	X	7.0	8.0	1
TN	C2	58.0	H		4	M	7	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	11.0	12.0	0
OK	R2		U		2	M	1	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	10.0	1.0	0
IN	T2		H		4	F	3	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	 	 	13.0	2.0	0
TX	S3	84.0	H		2	M	4	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	X	16.0	18.0	0
AZ	R3	48.0	H		5	F		0.0															 	X	11.0	12.0	0
TX	U1	45.0	H		6	F	5	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	 	 	12.0	6.0	0
UT	C1	37.0	H		3	M	9	0.0															 	 	13.0	4.0	0
AL	R3	74.0	U		2	M	1	0.0															 	X	22.0	13.0	1
MI	R2	87.0	U		2	M	2	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	33.0	11.0	0
CA	T1	60.0	H		6	F	9	7.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	13.0	9.0	1
IN	S1		U		7	F	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	17.0	0
MI	S2	65.0	H		5	F	8	11.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	X	11.0	4.0	0
CA	U2	58.0	H		5	M		0.0															 	 	13.0	2.0	1
TX	T2	52.0	U		4	M		0.0															 	 	11.0	2.0	0
CA	S2	85.0	H		6	F	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	22.0	46.0	1
TX	C2	76.0	H		1	M	5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	11.0	4.0	0
TN	R3		H		6	F	2	0.0															 	X	13.0	8.0	0
CA	C1		H		5	F	3	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	3.0	0
OR	T2		H		1	M	1	21.0	2.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	 	 	10.0	9.0	0
MI	C3	54.0	H	4.0	4	F		0.0															 	 	14.0	6.0	0
KY	R3	80.0	U		4	M		0.0															 	 	13.0	7.0	0
PA	C3		 			F		0.0															 	X	15.0	7.0	0
TX	S1	50.0	H		6	F	8	21.0	2.0	0.0	5.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	 	 	10.0	2.0	0
TN	T2	80.0	H		5	M	5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	13.0	0
KS	T2	44.0	H	1.0	5	M	6	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	7.0	0
AR	R3		U		2	F		0.0															 	X	14.0	32.0	0
CA	C3	47.0	H		2	F	0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	14.0	1
MI	S3	77.0	U		1	F		0.0															 	X	9.0	26.0	0
KY	C2	61.0	H		5	M	3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	10.0	0
MO	R3	35.0	U		2	F	2	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	1.0	0
OK	T2	82.0	H		6	F	6	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	X	12.0	17.0	0
CA	U4		 			F		0.0															 	X	12.0	18.0	1
MI	S1	71.0	H		6	M	9	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	12.0	14.0	0
AR	R3		 			M		0.0															 	 	11.0	2.0	0
FL	S3	78.0	H		2	M	2	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	21.0	0
TX	T2	58.0	U		2	M	3	6.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	37.0	0
IA	C2	59.0	H		5	F	3	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	10.0	0
CA	S2	54.0	H	1.0	4	M		0.0															 	X	9.0	9.0	1
CA	S1		U		3	F	4	0.0															 	X	14.0	11.0	0
CA	R2	70.0	H		7	F		0.0															 	 	13.0	8.0	0
IL	 	83.0	 		4	M	8	9.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	14.0	17.0	0
IL	C1	68.0	H		1	J	7	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	 	X	12.0	3.0	1
NC	T2	62.0	H		4	F	7	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	8.0	1.0	0
MO	S2		H		2	F	8	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	10.0	7.0	0
CA	C2	75.0	H		3	M	3	14.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	 	 	12.0	1.0	0
IN	S1	48.0	H	4.0	3	M	8	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	14.0	0
WI	C3	80.0	U		1	F	6	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	14.0	1
TN	C2	43.0	H	2.0	7	F	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	10.0	9.0	0
CA	U1	78.0	H		5	F	4	7.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	6.0	15.0	0
NM	S1		H	1.0	5	F		0.0															 	X	7.0	12.0	1
TN	T3	67.0	H		2	M	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	10.0	1.0	0
FL	U4	86.0	H		1	M		0.0															 	 	12.0	9.0	0
CO	S2	63.0	H		5	F	8	10.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	 	 	12.0	5.0	0
IL	C2		 			F		0.0															 	 	11.0	3.0	0
MI	T2	48.0	H	2.0	7	M		0.0															 	X	13.0	12.0	1
SC	S2		 			M		0.0															 	X	2.0	23.0	1
CA	U1	71.0	H		5	F		0.0															 	X	11.0	13.0	0
WA	R2	37.0	 			F		0.0															 	X	12.0	9.0	0
NV	U2	55.0	H		6	M		0.0															 	X	14.0	12.0	0
MN	R2	67.0	U		5	M	3	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	X	22.0	16.0	0
MI	C1	71.0	H		5	F	8	16.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	 	X	13.0	12.0	0
LA	C1		 		1	F		0.0															 	X	23.0	12.0	0
TN	C2		 			F		0.0															 	 	11.0	6.0	0
IL	U1	75.0	 			M		0.0															 	X	8.0	43.0	0
AZ	C3	54.0	H		5	M	1	10.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	 	 	13.0	5.0	0
FL	S1	63.0	H	1.0	6	M	9	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	7.0	0
OR	T2		H		7	M		0.0															 	X	13.0	15.0	0
LA	R2	68.0	H		4	F		0.0															 	X	13.0	15.0	1
AZ	S1	48.0	H		5	M		0.0															 	 	13.0	2.0	0
IL	R2	59.0	 			F		0.0															 	X	11.0	24.0	0
ID	R3	79.0	H		1	F	0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	11.0	1.0	0
TX	R2	68.0	H		4	F		0.0															 	X	13.0	33.0	0
KS	S2	83.0	H		2	F	5	31.0	2.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	 	X	13.0	21.0	1
CA	U1	40.0	U		4	M	9	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	X	13.0	9.0	0
CA	T2	49.0	 			F		0.0															 	X	12.0	10.0	0
