COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,PROFITABILITY,LEAVE
one,119070.0,25.0,17.0,179158.0,541.0,4.0,4.0,very_unsat,very_little,actively_looking_into_it,3.42,LEAVE
one,40157.0,53.0,0.0,972459.0,220.0,26.0,8.0,unsat,high,considering,5.35,STAY
zero,116959.0,211.0,0.0,245177.0,895.0,15.0,15.0,very_sat,very_little,actively_looking_into_it,3.51,LEAVE
one,21118.0,52.0,7.0,413655.0,205.0,3.0,5.0,very_sat,little,no,4.21,LEAVE
one,58114.0,154.0,50.0,258444.0,334.0,26.0,1.0,unsat,high,considering,3.14,LEAVE
one,54942.0,64.0,23.0,731897.0,306.0,5.0,5.0,very_unsat,high,actively_looking_into_it,6.6,STAY
zero,119820.0,155.0,0.0,863354.0,807.0,15.0,11.0,very_sat,avg,actively_looking_into_it,1.89,LEAVE
zero,107986.0,0.0,54.0,294067.0,601.0,4.0,2.0,sat,very_little,considering,5.67,LEAVE
one,117951.0,0.0,29.0,529357.0,344.0,0.0,1.0,unsat,very_little,actively_looking_into_it,7.16,LEAVE
zero,24079.0,0.0,0.0,928631.0,216.0,1.0,11.0,very_unsat,little,perhaps,5.37,STAY
one,29006.0,219.0,83.0,557407.0,162.0,28.0,1.0,very_unsat,very_little,no,1.76,LEAVE
one,73329.0,52.0,43.0,430486.0,371.0,3.0,2.0,avg,very_high,considering,7.03,LEAVE
zero,111572.0,0.0,78.0,254936.0,847.0,1.0,1.0,very_unsat,little,considering,7.83,STAY
one,66065.0,0.0,0.0,490357.0,280.0,1.0,8.0,very_unsat,little,actively_looking_into_it,2.79,STAY
zero,73102.0,83.0,8.0,355803.0,375.0,5.0,4.0,very_unsat,very_high,considering,1.82,STAY
one,21944.0,0.0,27.0,954543.0,177.0,1.0,2.0,very_unsat,little,considering,4.74,LEAVE
zero,64165.0,0.0,0.0,638740.0,335.0,1.0,14.0,unsat,high,actively_looking_into_it,6.91,STAY
one,32242.0,0.0,0.0,634253.0,193.0,0.0,10.0,very_sat,little,no,6.36,STAY
zero,44083.0,208.0,0.0,262710.0,173.0,21.0,9.0,very_unsat,little,perhaps,3.98,LEAVE
one,76435.0,199.0,0.0,290126.0,388.0,17.0,9.0,very_unsat,very_little,considering,2.34,LEAVE
one,64838.0,87.0,41.0,665783.0,353.0,5.0,2.0,unsat,avg,considering,5.56,LEAVE
one,30186.0,0.0,13.0,558518.0,144.0,0.0,11.0,very_unsat,high,never_thought,4.31,LEAVE
one,32870.0,208.0,20.0,221601.0,224.0,27.0,5.0,sat,little,considering,3.82,LEAVE
